"","speaker","trial_num","tune","erb","erbc","normtime","prop_dur","speaker_trial"
"225","speaker1",8,"HHH",5.90515907171894,1.17036455556204,15,0.5,"speaker1_8"
"226","speaker1",8,"HHH",6.04322174600367,1.30842722984678,16,0.533333333333333,"speaker1_8"
"227","speaker1",8,"HHH",6.12241663419754,1.38762211804065,17,0.566666666666667,"speaker1_8"
"228","speaker1",8,"HHH",6.18966063167881,1.45486611552191,18,0.6,"speaker1_8"
"229","speaker1",8,"HHH",6.22259165827965,1.48779714212276,19,0.633333333333333,"speaker1_8"
"230","speaker1",8,"HHH",6.2238391173763,1.48904460121941,20,0.666666666666667,"speaker1_8"
"231","speaker1",8,"HHH",6.22171833727557,1.48692382111868,21,0.7,"speaker1_8"
"232","speaker1",8,"HHH",6.23651212281096,1.50171760665407,22,0.733333333333333,"speaker1_8"
"233","speaker1",8,"HHH",6.26727087843793,1.53247636228104,23,0.766666666666667,"speaker1_8"
"234","speaker1",8,"HHH",6.28915861537899,1.5543640992221,24,0.8,"speaker1_8"
"235","speaker1",8,"HHH",6.28810571233461,1.55331119617771,25,0.833333333333333,"speaker1_8"
"236","speaker1",8,"HHH",6.27680530407492,1.54201078791802,26,0.866666666666667,"speaker1_8"
"237","speaker1",8,"HHH",6.2720496549221,1.53725513876521,27,0.9,"speaker1_8"
"238","speaker1",8,"HHH",6.23989559234634,1.50510107618945,28,0.933333333333333,"speaker1_8"
"239","speaker1",8,"HHH",6.14697487373709,1.4121803575802,29,0.966666666666667,"speaker1_8"
"240","speaker1",8,"HHH",6.03997795249583,1.30518343633894,30,1,"speaker1_8"
"241","speaker1",9,"LHL",4.77942410545104,0.0446295892941437,1,0.0333333333333333,"speaker1_9"
"242","speaker1",9,"LHL",4.62367231757619,-0.111122198580699,2,0.0666666666666667,"speaker1_9"
"243","speaker1",9,"LHL",4.40733440926485,-0.327460106892042,3,0.1,"speaker1_9"
"244","speaker1",9,"LHL",4.19880073834151,-0.53599377781538,4,0.133333333333333,"speaker1_9"
"245","speaker1",9,"LHL",4.07278066385156,-0.662013852305331,5,0.166666666666667,"speaker1_9"
"246","speaker1",9,"LHL",4.04680272545655,-0.687991790700342,6,0.2,"speaker1_9"
"247","speaker1",9,"LHL",4.08922203794466,-0.645572478212236,7,0.233333333333333,"speaker1_9"
"248","speaker1",9,"LHL",4.16440732403364,-0.57038719212325,8,0.266666666666667,"speaker1_9"
"249","speaker1",9,"LHL",4.24017318826522,-0.494621327891669,9,0.3,"speaker1_9"
"250","speaker1",9,"LHL",4.30355019449264,-0.431244321664253,10,0.333333333333333,"speaker1_9"
"251","speaker1",9,"LHL",4.35145576928916,-0.38333874686773,11,0.366666666666667,"speaker1_9"
"252","speaker1",9,"LHL",4.39058580702348,-0.34420870913341,12,0.4,"speaker1_9"
"253","speaker1",9,"LHL",4.42818997581758,-0.306604540339311,13,0.433333333333333,"speaker1_9"
"254","speaker1",9,"LHL",4.458832827804,-0.275961688352891,14,0.466666666666667,"speaker1_9"
"255","speaker1",9,"LHL",4.47244739994927,-0.262347116207618,15,0.5,"speaker1_9"
"256","speaker1",9,"LHL",4.50802228805289,-0.226772228104003,16,0.533333333333333,"speaker1_9"
"257","speaker1",9,"LHL",4.60283055192523,-0.131963964231664,17,0.566666666666667,"speaker1_9"
"258","speaker1",9,"LHL",4.67644493683469,-0.058349579322206,18,0.6,"speaker1_9"
"259","speaker1",9,"LHL",4.69895986587468,-0.0358346502822098,19,0.633333333333333,"speaker1_9"
"260","speaker1",9,"LHL",4.71672724570051,-0.0180672704563838,20,0.666666666666667,"speaker1_9"
"261","speaker1",9,"LHL",4.72755211074586,-0.00724240541102805,21,0.7,"speaker1_9"
"262","speaker1",9,"LHL",4.72269103353081,-0.0121034826260811,22,0.733333333333333,"speaker1_9"
"263","speaker1",9,"LHL",4.71112660079317,-0.023667915363724,23,0.766666666666667,"speaker1_9"
"264","speaker1",9,"LHL",4.70601214774576,-0.0287823684111306,24,0.8,"speaker1_9"
"265","speaker1",9,"LHL",4.71137124092544,-0.0234232752314556,25,0.833333333333333,"speaker1_9"
"266","speaker1",9,"LHL",4.71812076825648,-0.0166737479004073,26,0.866666666666667,"speaker1_9"
"267","speaker1",9,"LHL",4.72022288060817,-0.0145716355487231,27,0.9,"speaker1_9"
"268","speaker1",9,"LHL",4.72100494059219,-0.0137895755646991,28,0.933333333333333,"speaker1_9"
"269","speaker1",9,"LHL",4.66474902056829,-0.0700454955885972,29,0.966666666666667,"speaker1_9"
"270","speaker1",9,"LHL",4.49601220277474,-0.238782313382153,30,1,"speaker1_9"
"271","speaker1",10,"LLH",4.97122726138039,0.236432745223496,1,0.0333333333333333,"speaker1_10"
"272","speaker1",10,"LLH",4.7503822308966,0.0155877147397128,2,0.0666666666666667,"speaker1_10"
"273","speaker1",10,"LLH",4.5214402025415,-0.213354313615391,3,0.1,"speaker1_10"
"274","speaker1",10,"LLH",4.52965130185327,-0.205143214303618,4,0.133333333333333,"speaker1_10"
"275","speaker1",10,"LLH",4.72122488310612,-0.0135696330507713,5,0.166666666666667,"speaker1_10"
"276","speaker1",10,"LLH",4.89627544615746,0.161480930000564,6,0.2,"speaker1_10"
"277","speaker1",10,"LLH",4.87476288359966,0.139968367442773,7,0.233333333333333,"speaker1_10"
"278","speaker1",10,"LLH",4.75023606242391,0.0154415462670174,8,0.266666666666667,"speaker1_10"
"279","speaker1",10,"LLH",4.69209834648162,-0.0426961696752741,9,0.3,"speaker1_10"
